Sunday_date,Age_group,hosp_unvaccinated_rel,hosp_after_1st_dose_rel,hosp_after_2nd_dose_rel,hosp_after_3rd_dose_rel
2021-07-25,40-49,0.00012197272673475078,1.7044776628202288e-05,5.590971252344015e-06,
2021-07-25,50-59,0.000212897057354253,2.277333697706725e-05,3.191527742701809e-05,
2021-07-25,60-69,0.00021498615264026796,3.458292986581823e-05,6.540232551983169e-05,0.0
2021-07-25,70-79,0.0007912168597531773,0.0005435204596630173,0.00017207868849565723,0.0
2021-07-25,80-89,0.00202805791625846,0.00016564518800728838,0.00043327767256865504,0.0
2021-07-25,90+,0.00080678190449708,0.0005813953488372093,0.000794980877487001,0.0
2021-08-01,0-19,1.7795021656597422e-05,0.0,1.78685340475982e-06,
2021-08-01,20-29,6.006319981661326e-05,1.1105558331945139e-05,6.351236056390508e-06,
2021-08-01,30-39,0.00014884464339456752,1.4735353059059295e-05,2.2445753423779033e-05,
2021-08-01,40-49,0.00016569491489430512,0.0,2.3463896883994494e-05,
2021-08-01,50-59,0.00038382078033504755,2.2696838330420573e-05,5.269200689987964e-05,
2021-08-01,60-69,0.0004457981970671499,3.508895048949086e-05,0.00017070885812428438,2.9824393968314563e-05
2021-08-01,70-79,0.000939312873691113,7.92393026941363e-05,0.0003996582233124776,5.961891588963347e-06
2021-08-01,80-89,0.003491285230172961,0.0,0.0010038855426037468,7.317108863945677e-05
2021-08-01,90+,0.0017730607428951576,0.0005817335660267597,0.0010455747585952396,7.003782042302843e-05
2021-08-08,0-19,2.4446075501031557e-05,8.58184938854323e-06,1.2301636117603641e-05,
2021-08-08,20-29,7.299034925818844e-05,1.0961787209786683e-05,2.429630506018089e-05,
2021-08-08,30-39,0.00021106330219874782,1.4511681903932665e-05,3.416419954881904e-05,0.0
2021-08-08,40-49,0.00027326293212102536,1.669699954918101e-05,2.6853627589416984e-05,0.0
2021-08-08,50-59,0.0005156824183626136,2.2548422737829488e-05,9.176728999351709e-05,0.0
2021-08-08,60-69,0.0008010971375407658,3.560239248077471e-05,0.0002901232379042787,5.8942628192848494e-05
2021-08-08,70-79,0.0022155787678780894,8.101101749837978e-05,0.0007982719759579264,0.00010649421058746079
2021-08-08,80-89,0.00410885875883114,0.00016849199663016007,0.0017098321978633725,0.00029593656334180675
2021-08-08,90+,0.0034707981781451004,0.0005681818181818182,0.0018621010707081157,0.0005081485245544626
2021-08-15,0-19,4.253198092135485e-05,7.504183582347158e-06,1.7122877191300208e-05,
2021-08-15,20-29,0.0002146534458476053,1.0777255679613744e-05,3.686379669721447e-05,
2021-08-15,30-39,0.00036387596659942815,1.417836381681554e-05,5.075237699297565e-05,0.0
2021-08-15,40-49,0.0004180467429833332,1.639451767329005e-05,6.102361003472243e-05,1.2704704552095641e-05
2021-08-15,50-59,0.0007670882785868961,2.2830528983356545e-05,0.00015560818773670179,2.4281779646318534e-05
2021-08-15,60-69,0.0010811828510629718,3.5697711776675117e-05,0.00036928303698369614,5.983669185944821e-05
2021-08-15,70-79,0.003223359367239975,8.105698305909054e-05,0.0009260836242868092,0.0001503184017054306
2021-08-15,80-89,0.006528735941212336,0.0011703728473499416,0.0019326055223174818,0.00028308118139213034
2021-08-15,90+,0.0036661263735077144,0.0,0.0022314787265694733,0.00047697123267252943
2021-08-22,0-19,4.357530884212344e-05,6.347312230635937e-06,8.351414144957166e-06,
2021-08-22,20-29,0.00021985089123475015,5.199991680013312e-05,4.622810206324425e-05,
2021-08-22,30-39,0.00047976187050659285,1.3602666122560023e-05,6.182809266643113e-05,6.698237693662797e-06
2021-08-22,40-49,0.0005743559886133016,1.5983121823354538e-05,0.00010385294423096895,1.9121129166414373e-05
2021-08-22,50-59,0.0008294603841657847,0.00015829583229687254,0.00018903361139567784,2.252094447836488e-05
2021-08-22,60-69,0.0012642078747930985,0.00017745599091425327,0.0003819466547838819,6.0457223387355686e-05
2021-08-22,70-79,0.004005854956864077,0.0005623393316195373,0.0013906626933446857,8.972794487115067e-05
2021-08-22,80-89,0.005938609767403321,0.0009902624195411785,0.001643298258633942,0.0002997002997002997
2021-08-22,90+,0.0035837391714613792,0.0,0.0022004217475016046,0.00033197775749024816
2021-08-29,0-19,5.650465847789464e-05,5.87340463646562e-06,1.415696177443359e-05,0.0
2021-08-29,20-29,0.00023259391703620016,1.0040967145955499e-05,6.664166515307329e-05,5.21550465223015e-06
2021-08-29,30-39,0.0004971090299387604,7.838526357044875e-05,9.81976828464235e-05,3.2912167299128817e-06
2021-08-29,40-49,0.0006325234875936035,1.5626464981091976e-05,9.558909434643612e-05,1.6145065721949678e-05
2021-08-29,50-59,0.0009326123322728876,0.0001345080368552021,0.0001752694768206117,3.07020237019623e-05
2021-08-29,60-69,0.0014095134700004585,0.0001782340569636046,0.00029480934545625094,3.963291989592395e-05
2021-08-29,70-79,0.003992788504649411,0.0005685971895053204,0.0008328517523880749,5.713902421452474e-05
2021-08-29,80-89,0.0070000311652497395,0.00016528925619834712,0.001672603376180889,0.0002273890057415724
2021-08-29,90+,0.0027592399975766508,0.0027218290691344584,0.0015706806282722514,0.0003193697769734391
